window_id,src_ip,dst_ip,mean_inter_arrival,std_inter_arrival,burstiness,syn_count,rst_count,syn_ratio,rst_ratio,zero_payload_ratio,flow_count_per_window,label
26,192.168.153.138,192.168.153.149,0.0294602844450208,0.0280892904289025,0.953462974239881,2,0,0.1052631578947368,0.0,0.5263157894736842,66,1
26,192.168.153.138,192.168.153.149,0.0251613514763968,0.0262962812625026,1.0451060741777107,2,0,0.1333333333333333,0.0,0.5333333333333333,66,1
26,192.168.153.138,192.168.153.149,0.0114787646702357,0.0132652981980601,1.1556381352130043,2,1,0.25,0.125,0.75,66,1
26,192.168.153.138,192.168.153.149,0.006390631198883,0.0138741148633639,2.171008532895605,2,0,0.2222222222222222,0.0,0.7777777777777778,66,1
26,192.168.153.138,192.168.153.149,0.0,0.0,0.0,1,0,1.0,0.0,1.0,66,1
27,192.168.153.138,192.168.153.149,0.1341334673074575,0.4909446388840967,3.660120391570621,1,0,0.037037037037037,0.0,0.5925925925925926,71,1
27,192.168.153.138,192.168.153.149,0.0,0.0,0.0,0,1,0.0,1.0,1.0,71,1
27,192.168.153.138,192.168.153.149,0.2576228777567546,0.6537376473971714,2.537576061138581,0,0,0.0,0.0,0.7,71,1
27,192.168.153.138,192.168.153.149,1.4066696166992188e-05,0.0,0.0,0,0,0.0,0.0,1.0,71,1
27,192.168.153.138,192.168.153.149,0.0541539788246154,0.0573330851036273,1.0587049437181295,0,0,0.0,0.0,0.8,71,1
27,192.168.153.138,192.168.153.149,0.0088950225285121,0.0095869236417961,1.0777852007756237,2,1,0.25,0.125,0.75,71,1
27,192.168.153.138,192.168.153.149,0.0161118507385253,0.0214776065252985,1.3330316221179357,0,0,0.0,0.0,0.8,71,1
27,192.168.153.138,192.168.153.149,0.211324965512311,0.8749580890045366,4.140344170332136,2,0,0.0714285714285714,0.0,0.6071428571428571,71,1
27,192.168.153.138,192.168.153.149,0.1893810500269351,0.7408408370550185,3.911905847758532,2,0,0.0833333333333333,0.0,0.5833333333333334,71,1
27,192.168.153.138,192.168.153.149,0.0442284856523786,0.0781727015246745,1.7674740695190505,0,0,0.0,0.0,0.875,71,1
27,192.168.153.138,192.168.153.149,0.0321749316321478,0.0676106215400481,2.1013446838996344,2,1,0.2,0.1,0.8,71,1
27,192.168.153.138,192.168.153.149,0.1814701557159423,0.7279140500081506,4.011205297842825,2,0,0.0769230769230769,0.0,0.6153846153846154,71,1
27,192.168.153.138,192.168.153.149,0.0222197175025939,0.0151698907628006,0.6827220355537655,0,0,0.0,0.0,0.8,71,1
27,192.168.153.138,192.168.153.149,0.1629804670810699,0.6143008629184372,3.769168624439338,2,0,0.08,0.0,0.6,71,1
27,192.168.153.138,192.168.153.149,0.015281319618225,0.0158639959760482,1.0381299764928806,0,0,0.0,0.0,0.8,71,1
27,192.168.153.138,192.168.153.149,0.0134912729263305,0.0217496440927503,1.6121269068912043,0,0,0.0,0.0,0.8,71,1
27,192.168.153.138,192.168.153.149,0.1833240102838587,0.7403708832744703,4.038592010550505,2,0,0.0714285714285714,0.0,0.6428571428571429,71,1
27,192.168.153.138,192.168.153.149,0.0151376383645193,0.0195299623385806,1.290159129732962,2,1,0.25,0.125,0.75,71,1
27,192.168.153.138,192.168.153.149,0.1498421386436179,0.6385205978409384,4.261288604266287,2,0,0.0714285714285714,0.0,0.6071428571428571,71,1
