window_id,src_ip,dst_ip,mean_inter_arrival,std_inter_arrival,packet_count,syn_count,rst_count,zero_payload_count,packet_size_std,unique_packet_sizes,flow_count_per_window,label
18,192.168.153.138,192.168.153.149,0.1862575514563198,0.6348267053824895,30,2,1,20,338.3005172919485,10,89,1
18,192.168.153.138,192.168.153.149,0.1887532571951548,0.6321699940713413,25,2,0,15,365.94420558331024,10,89,1
18,192.168.153.138,192.168.153.149,0.2297241389751434,0.7397143814362778,25,2,0,15,365.9442055833102,10,89,1
18,192.168.153.138,192.168.153.149,0.2205870846907297,0.7625571737586692,25,2,0,14,365.3127974763545,10,89,1
18,192.168.153.138,192.168.153.149,0.2215450781363028,0.8867299882622048,28,2,0,18,348.61295859155786,10,89,1
18,192.168.153.138,192.168.153.149,1.6450881958007812e-05,0.0,2,0,0,2,0.0,1,89,1
18,192.168.153.138,192.168.153.149,0.0400611758232116,0.0731292286974409,9,2,2,7,9.573626323794674,3,89,1
18,192.168.153.138,192.168.153.149,0.1526495676774245,0.609341194976056,27,2,0,17,354.123644445772,10,89,1
18,192.168.153.138,192.168.153.149,0.244412612915039,0.6588220356591394,21,2,0,12,394.3063716695801,10,89,1
18,192.168.153.138,192.168.153.149,0.1554043920416581,0.3741289872793561,20,2,0,11,402.2038662171213,10,89,1
18,192.168.153.138,192.168.153.149,0.3170748816596137,0.800623554960741,10,2,0,7,446.8077438899196,4,89,1
18,192.168.153.138,192.168.153.149,0.031785249710083,0.0307679238858857,5,2,0,4,9.6,2,89,1
18,192.168.153.138,192.168.153.149,0.070054292678833,0.0672976086411981,5,2,0,4,9.6,2,89,1
18,192.168.153.138,192.168.153.149,0.0571978092193603,0.0693344250843042,5,2,0,4,9.6,2,89,1
18,192.168.153.138,192.168.153.149,0.0638386607170105,0.0683311667336859,5,2,0,4,9.6,2,89,1
18,192.168.153.138,192.168.153.149,0.2096625127290424,0.4854626978055176,20,2,0,11,402.2038662171213,10,89,1
18,192.168.153.138,192.168.153.149,0.0474641323089599,0.0543682840974912,5,2,0,4,9.6,2,89,1
18,192.168.153.138,192.168.153.149,0.0417812466621398,0.0564863971410751,5,2,0,4,9.6,2,89,1
18,192.168.153.138,192.168.153.149,0.0138595104217529,0.0116790737052933,5,2,0,4,9.6,2,89,1
18,192.168.153.138,192.168.153.149,0.215113490819931,0.5271483500105973,9,2,2,7,9.573626323794674,3,89,1
18,192.168.153.138,192.168.153.149,0.0478725433349609,0.0545457802641869,5,2,0,4,9.6,2,89,1
18,192.168.153.138,192.168.153.149,0.0548513531684875,0.0671115055144587,5,2,0,4,9.6,2,89,1
18,192.168.153.138,192.168.153.149,0.0389822125434875,0.0398907340929836,5,2,0,4,9.6,2,89,1
18,192.168.153.138,192.168.153.149,0.0273180603981018,0.0233125417847637,5,2,0,4,9.6,2,89,1
18,192.168.153.138,192.168.153.149,0.0643047094345092,0.0834815735498386,5,2,0,4,9.6,2,89,1
18,192.168.153.138,192.168.153.149,0.0189223885536193,0.011277344593068,5,2,0,4,9.6,2,89,1
18,192.168.153.138,192.168.153.149,0.0382124781608581,0.0412463762978337,5,2,0,4,9.6,2,89,1
18,192.168.153.138,192.168.153.149,0.0674762725830078,0.0962900218770087,7,2,0,5,10.842094834863014,2,89,1
18,192.168.153.138,192.168.153.149,0.0623212456703186,0.0506273734443761,5,2,0,4,9.6,2,89,1
19,192.168.153.138,192.168.153.149,0.0701172351837158,0.0302557945251464,3,0,0,1,513.2623327521923,3,2,1
19,192.168.153.138,192.168.153.149,0.0293587616511753,0.0353578799786205,8,0,0,4,566.6488661419875,5,2,1
20,192.168.153.138,192.168.153.149,0.063753775187901,0.0737067899960079,8,0,0,4,192.87042282320013,5,23,1
20,192.168.153.138,192.168.153.149,0.0454725424448649,0.0630499505474038,16,0,0,8,439.4297263215132,9,23,1
20,192.168.153.138,192.168.153.149,0.0453837712605794,0.0632161533410501,16,0,0,8,439.4297263215132,9,23,1
20,192.168.153.138,192.168.153.149,0.0485801526478358,0.0831938492553726,15,0,0,7,450.06362019410346,9,23,1
20,192.168.153.138,192.168.153.149,0.0482697657176426,0.0841109222813119,15,0,0,7,450.06362019410346,9,23,1
20,192.168.153.138,192.168.153.149,0.0318772196769714,0.032615680841353,17,0,0,9,429.4159548546572,9,23,1
20,192.168.153.138,192.168.153.149,0.0320383310317993,0.0348417166175998,17,0,0,9,429.4159548546572,9,23,1
20,192.168.153.138,192.168.153.149,0.0335418780644734,0.0281406824947515,7,0,0,3,202.10807373627543,5,23,1
20,192.168.153.138,192.168.153.149,9.600321451822916e-05,0.0001218693435735,4,0,2,3,9.526279441628825,2,23,1
20,192.168.153.138,192.168.153.149,0.0001602172851562,0.0001554489135742,3,0,1,2,10.370899457402697,2,23,1
20,192.168.153.138,192.168.153.149,0.0361045897006988,0.041879784364304,17,0,0,8,428.2067217358836,9,23,1
20,192.168.153.138,192.168.153.149,0.0987768620252609,0.226701451337512,17,0,0,9,429.4159548546572,9,23,1
20,192.168.153.138,192.168.153.149,0.0202000141143798,0.0125501350964659,5,2,0,4,9.6,2,23,1
20,192.168.153.138,192.168.153.149,0.0483049154281616,0.0718094236641677,17,0,0,9,429.4159548546572,9,23,1
20,192.168.153.138,192.168.153.149,0.019605278968811,0.0116194484514442,5,2,0,4,9.6,2,23,1
20,192.168.153.138,192.168.153.149,0.2173765182495117,0.3410668438838157,6,0,2,4,411.573268757284,3,23,1
20,192.168.153.138,192.168.153.149,0.1056547959645589,0.0914982118875311,4,0,0,4,0.0,1,23,1
20,192.168.153.138,192.168.153.149,0.0999130407969157,0.0808474403241762,4,0,1,3,22.516660498395403,2,23,1
20,192.168.153.138,192.168.153.149,0.0768063068389892,0.0,2,0,0,2,0.0,1,23,1
20,192.168.153.138,192.168.153.149,0.0929796695709228,0.0,2,0,0,2,0.0,1,23,1
20,192.168.153.138,192.168.153.149,0.3134858608245849,0.0,2,0,0,2,0.0,1,23,1
20,192.168.153.138,192.168.153.149,0.1152532895406087,0.0793622473048477,4,0,0,4,0.0,1,23,1
21,192.168.153.138,192.168.153.149,2.0742416381835938e-05,0.0,2,0,1,1,21.0,2,2,1
21,192.168.153.138,192.168.153.149,1.9788742065429688e-05,0.0,2,0,1,1,21.0,2,2,1
22,192.168.153.138,192.168.153.149,0.2475452423095703,0.0,2,0,0,2,0.0,1,18,1
22,192.168.153.138,192.168.153.149,0.1447124481201172,0.0,2,0,0,2,0.0,1,18,1
22,192.168.153.138,192.168.153.149,1.053873062133789,1.4377732031293773,4,0,1,3,18.18653347947321,2,18,1
22,192.168.153.138,192.168.153.149,0.5567618778773716,1.2616427060004645,8,0,2,6,366.03338304039977,3,18,1
22,192.168.153.138,192.168.153.149,1.550707483291626,3.004570859375259,6,0,2,5,19.37925580499818,2,18,1
22,192.168.153.138,192.168.153.149,0.139885663986206,0.0,2,0,0,2,0.0,1,18,1
22,192.168.153.138,192.168.153.149,0.1674103736877441,0.0,2,0,0,2,0.0,1,18,1
22,192.168.153.138,192.168.153.149,0.1670877933502197,0.0,2,0,0,2,0.0,1,18,1
22,192.168.153.138,192.168.153.149,0.1668620109558105,0.0,2,0,0,2,0.0,1,18,1
22,192.168.153.138,192.168.153.149,0.1666455268859863,0.0,2,0,0,2,0.0,1,18,1
22,192.168.153.138,192.168.153.149,0.1664831638336181,0.0,2,0,0,2,0.0,1,18,1
22,192.168.153.138,192.168.153.149,0.1877915859222412,0.0,2,0,0,2,0.0,1,18,1
22,192.168.153.138,192.168.153.149,1.1556542600904192,2.678931945443768,8,0,2,7,17.19738352191984,2,18,1
22,192.168.153.138,192.168.153.149,0.051370769739151,0.1054709828318671,9,2,2,7,9.573626323794674,3,18,1
22,192.168.153.138,192.168.153.149,0.4461831152439117,1.2830462361416184,25,2,0,14,365.3127974763545,10,18,1
22,192.168.153.138,192.168.153.149,6.651878356933594e-05,0.0,2,0,1,1,21.0,2,18,1
22,192.168.153.138,192.168.153.149,0.0050060153007507,0.0078686315061639,9,2,2,7,9.573626323794674,3,18,1
22,192.168.153.138,192.168.153.149,0.0088141560554504,0.0085908213468896,5,2,0,4,9.6,2,18,1
